移る	うつる	to move (house); to transfer (department) / to change the target of interest or concern / to elapse (passage of time) / to be permeated by a colour or scent / to be infected; to be contagious; to spread (as in fire)
一杯	いっぱい	amount necessary to fill a container (e.g. cupful, spoonful, etc.); drink (usu. alcoholic) / full / one squid, octopus, crab, etc.; one boat / fully; to capacity / a lot; much / all of ...; the entire ...
引っ越す	ひっこす	to move (house); to change residence
遠慮	えんりょ	reserve; constraint; restraint; modesty; diffidence; hesitation; holding back; discretion; tact; thoughtfulness / declining; refraining / forethought; foresight
汚れる	よごれる	to get dirty; to become dirty / to become sullied; to become corrupted; to lose one's chastity
億	おく	10^8; 100,000,000; hundred million
下がる	さがる	to come down; to go down; to fall; to drop; to sink; to get lower / to hang; to dangle / to move back; to step back; to withdraw; to retire / to deteriorate; to fall off; to be downgraded / to get closer to the present day / to go south
下宿	げしゅく	boarding; lodging; boarding house
家内	かない	(my) wife / inside the home; one's family
過ぎる	すぎる	to pass through; to pass by; to go beyond / to pass (i.e. of time); to elapse / to have expired; to have ended; to be over / to exceed; to surpass; to be above / to be no more than ... / to be excessive; to be too much; to be too ...
壊す	こわす	to break; to destroy; to demolish / to wreck; to ruin; to spoil; to damage / to break (a bill, etc.)
壊れる	こわれる	to be broken; to break / to fall through; to come to nothing
楽しむ	たのしむ	to enjoy (oneself)
かける	掛ける	to hang up (e.g. a picture on the wall); to let hang; to suspend (from); to hoist (e.g. sail); to raise (e.g. flag) / to put on (e.g. a blanket); to put on top of; to cover / to put on (glasses, etc.); to wear (a necklace, etc.) / to make (a call) / to spend (time, money); to expend; to use / to pour (liquid) onto; to sprinkle (powder or spices) onto; to splash; to throw (e.g. water) onto somebody / to turn on (an engine, radio, etc.); to set (a dial, an alarm clock, etc.); to put on (a DVD, a song, etc.) / to cause (somebody inconvenience, trouble, etc.); to burden (someone); to impose / to multiply (arithmetic operation) / to secure (e.g. lock) / to take a seat; to sit; to rest (something on something else); to support (something on something else) / to bind / to wager; to bet; to risk; to stake; to gamble / to put an effect (spell, anaesthetic, etc.) on / to hold (a play, festival, etc.) / to hold an emotion for (pity, hope, etc.) / to argue (in court); to deliberate (in a meeting); to present (e.g. idea to a conference, etc.) / to increase further / to catch (in a trap, etc.) / to set atop / to erect (a makeshift building) / to apply (insurance) / to pun (on a word); to use (a word) as a pivot word; to play on words / to be partway doing ...; to begin (but not complete) ...; to be about to ... / to address (someone); to direct (something, to someone); to do (something, to someone)
滑る	すべる	to glide; to slide (e.g. on skis); to slip / to fail (an examination); to bomb (when telling a joke) / to drop; to go down; to come down; to fall (e.g. in status)
慣れる	なれる	to get used to; to grow accustomed to; to become familiar with / to become skilled in; to become experienced at / to become tame; to become domesticated / to get used to doing
間に合う	まにあう	to be in time for / to serve (suit, meet) the purpose; to be good enough; to be enough
間違える	まちがえる	to make a mistake (in); to commit an error (e.g. in calculation) / to confuse; to mistake something for something else
おもちゃ	玩具	toy; plaything
喜ぶ	よろこぶ	to be delighted; to be glad; to be pleased / to congratulate / to gratefully accept
寄る	よる	to approach; to draw near; to come near; to be close to / to gather (in one place); to come together; to meet / to stop by (while on one's way to another place); to drop by; to make a short visit / to grow old; to grow high (number, etc.) / to grow (wrinkly) / to lean against; to recline on / to push one's opponent while holding their belt / to decide on a price and come to a deal / to be swayed by (a person); to yield to
汽車	きしゃ	train (esp. long distance train) / steam train
祈る	いのる	to pray; to wish
急ぐ	いそぐ	to hurry; to rush; to hasten; to make something happen sooner
急行	きゅうこう	hurrying (to somewhere); rushing; hastening / express (train)
